Year,Capacity_factor_hydro
2026,0.2945460277053876
2027,0.29361176983204296
2028,0.2934419047641621
2029,0.2919131191532345
2030,0.2908939287459494
2031,0.2903843335423069
2032,0.29029940100836643
2033,0.28936514313502176
2034,0.2890254129992601
2035,0.2885158177956175
2036,0.28868568286349844
2037,0.28707196471863033
2038,0.28545824657376234
2039,0.28341986575919215
2040,0.2824856078858476
